engine_name,positions_analyzed,rank0_hits,rank1_hits,rank2_hits,is_complete
stockfish_elo_1320,0,0,0,0,False
stockfish_elo_1400,0,0,0,0,False
stockfish_elo_1500,0,0,0,0,False
stockfish_elo_1600,0,0,0,0,False
stockfish_elo_1700,0,0,0,0,False
stockfish_elo_1800,0,0,0,0,False
stockfish_elo_1900,0,0,0,0,False
stockfish_elo_2000,0,0,0,0,False
stockfish_elo_2100,0,0,0,0,False
stockfish_elo_2200,0,0,0,0,False
stockfish_elo_2400,0,0,0,0,False
stockfish_elo_2600,0,0,0,0,False
stockfish_elo_2750,0,0,0,0,False
stockfish_elo_3000,0,0,0,0,False
stockfish_elo_3190,0,0,0,0,False
